Payment Information,Date,Method,Amount,Taxes,Total,Status
28110,2017-12-28 23:37:40+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28113,2017-12-29 01:04:54+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28114,2017-12-29 01:10:38+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28116,2017-12-29 07:35:36+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28117,2017-12-29 15:07:15+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28120,2017-12-29 18:45:52+00:00,CREDIT CARD,1.5,0.18,1.68,ACCEPTED
28130,2017-12-30 14:49:08+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28131,2017-12-30 19:04:23+00:00,CREDIT CARD,1.5,0.18,1.68,ACCEPTED
28149,2017-12-31 17:23:24+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28122,2017-12-29 21:39:39+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28124,2017-12-29 23:55:44+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28127,2017-12-30 02:56:25+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28135,2017-12-30 21:44:57+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
28136,2017-12-30 21:48:01+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28137,2017-12-30 23:08:53+00:00,CREDIT CARD,150,18,168,ACCEPTED
28140,2017-12-31 00:35:06+00:00,CASH,74,8.88,82.88,ACCEPTED
28142,2017-12-31 00:49:46+00:00,POS-CREDIT,74,8.88,82.88,ACCEPTED
28144,2017-12-31 01:01:20+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28152,2017-12-31 20:43:51+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
28155,2017-12-31 22:21:37+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28156,2017-12-31 22:44:37+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28157,2017-12-31 22:47:33+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
